,sigUF,mdaPotenciaInstaladakW,mesReferencia,anoReferencia
637,SC,4574946.2,6,2016
638,SC,7132165.0,9,2012
639,SC,7295298.0,9,2013
640,SC,4493416.0,9,2014
641,SC,4554246.0,9,2015
642,SC,4583300.02,9,2016
643,SE,3174374.4,12,2006
644,SE,3175004.4,12,2007
645,SE,3184804.4,12,2008
646,SE,3191484.4,12,2009
647,SE,3199544.4,12,2010
648,SE,3225884.0,12,2011
649,SE,3282279.4,12,2012
650,SE,3283199.0,12,2013
651,SE,3284279.0,12,2014
652,SE,3290047.4,12,2015
653,SE,3295871.4,12,2016
654,SE,3237779.4,3,2012
655,SE,3282279.0,3,2013
656,SE,3283199.0,3,2014
657,SE,3288663.0,3,2015
658,SE,3290047.0,3,2016
659,SE,3295871.4,3,2017
660,SE,3237779.4,6,2012
661,SE,3281999.0,6,2013
662,SE,3284279.0,6,2014
663,SE,3288663.0,6,2015
664,SE,3291247.4,6,2016
665,SE,3272279.0,9,2012
666,SE,3283199.0,9,2013
667,SE,3284279.0,9,2014
668,SE,3288847.0,9,2015
669,SE,3295871.4,9,2016
670,SP,21404762.9,12,2006
671,SP,21618887.3,12,2007
672,SP,21802871.7,12,2008
673,SP,22350906.9,12,2009
674,SP,22966983.9,12,2010
675,SP,24084267.0,12,2011
676,SP,24923400.98,12,2012
677,SP,25165389.0,12,2013
678,SP,22326018.0,12,2014
679,SP,22828190.92,12,2015
680,SP,23062166.47,12,2016
681,SP,24255748.98,3,2012
682,SP,25009767.0,3,2013
683,SP,25246570.0,3,2014
684,SP,22449797.0,3,2015
685,SP,22864528.0,3,2016
686,SP,23062720.75,3,2017
687,SP,24489207.98,6,2012
688,SP,24960679.0,6,2013
689,SP,25337669.0,6,2014
690,SP,22721394.0,6,2015
691,SP,22906394.32,6,2016
692,SP,24817144.0,9,2012
693,SP,25041984.0,9,2013
694,SP,22268753.0,9,2014
695,SP,22765707.0,9,2015
696,SP,22989821.42,9,2016
697,TO,1451910.0,12,2006
698,TO,1468447.0,12,2007
699,TO,1477747.0,12,2008
700,TO,1521183.0,12,2009
701,TO,1795333.0,12,2010
702,TO,2324505.0,12,2011
703,TO,2732130.0,12,2012
704,TO,2988080.0,12,2013
705,TO,1902262.0,12,2014
706,TO,1917772.0,12,2015
707,TO,1932872.0,12,2016
708,TO,2460380.0,3,2012
709,TO,2908080.0,3,2013
710,TO,2988080.0,3,2014
711,TO,1907510.0,3,2015
712,TO,1932872.0,3,2016
713,TO,1932872.0,3,2017
714,TO,2596255.0,6,2012
715,TO,2908080.0,6,2013
716,TO,2988093.0,6,2014
717,TO,1909076.0,6,2015
718,TO,1932872.0,6,2016
719,TO,2259870.0,9,2012
720,TO,2988080.0,9,2013
721,TO,1901333.0,9,2014
722,TO,1911476.0,9,2015
723,TO,1932872.0,9,2016
724,AC,250401.9,6,2017
725,AL,729369.1,6,2017
726,AM,2280149.04,6,2017
727,AP,1159779.0,6,2017
728,BA,9713921.66,6,2017
729,CE,3806014.1,6,2017
730,DF,56058.4,6,2017
731,ES,1539618.9,6,2017
732,GO,7590628.09,6,2017
733,MA,3592609.43,6,2017
734,MG,15870608.19,6,2017
735,MS,2360411.38,6,2017
736,MT,3090647.35,6,2017
737,PA,14272047.79,6,2017
738,PB,688478.8,6,2017
739,PE,4202971.59,6,2017
740,PI,1363686.0,6,2017
741,PR,16647832.07,6,2017
742,RJ,8456231.73,6,2017
743,RN,3942499.84,6,2017
744,RO,8347722.68,6,2017
745,RR,263398.58,6,2017
746,RS,9485127.96,6,2017
747,SC,4633185.36,6,2017
748,SE,3295871.4,6,2017
749,SP,23023930.35,6,2017
750,TO,1932872.0,6,2017
751,AC,250242.7,12,2017
752,AL,730386.6,12,2017
753,AM,2279111.04,12,2017
754,AP,1183368.2,12,2017
755,BA,10458161.82,12,2017
756,CE,4000712.1,12,2017
757,DF,56058.4,12,2017
758,ES,1565456.9,12,2017
759,GO,7649637.79,12,2017
760,MA,3813409.43,12,2017
761,MG,16179000.07,12,2017
762,MS,2642371.38,12,2017
763,MT,3114783.95,12,2017
764,PA,15834438.61,12,2017
765,PB,776678.8,12,2017
766,PE,4283645.34,12,2017
767,PI,2009786.0,12,2017
768,PR,16666239.87,12,2017
769,RJ,8482205.53,12,2017
770,RN,4220699.84,12,2017
771,RO,8354994.18,12,2017
772,RR,263772.58,12,2017
773,RS,9582007.96,12,2017
774,SC,4704375.81,12,2017
775,SE,3296239.4,12,2017
776,SP,23074499.05,12,2017
777,TO,1932229.0,12,2017
778,AC,250242.7,9,2017
779,AL,728969.1,9,2017
780,AM,2262655.04,9,2017
781,AP,1159779.0,9,2017
782,BA,9897921.66,9,2017
783,CE,3804462.1,9,2017
784,DF,56058.4,9,2017
785,ES,1543264.9,9,2017
786,GO,7612136.09,9,2017
787,MA,3785809.43,9,2017
788,MG,15932313.96,9,2017
789,MS,2372311.38,9,2017
790,MT,3149237.35,9,2017
791,PA,14867323.5,9,2017
792,PB,682178.8,9,2017
793,PE,4204019.34,9,2017
794,PI,1657286.0,9,2017
795,PR,16653130.07,9,2017
796,RJ,8467892.13,9,2017
797,RN,3969499.84,9,2017
798,RO,8344810.68,9,2017
799,RR,263592.58,9,2017
800,RS,9565877.96,9,2017
801,SC,4640539.16,9,2017
802,SE,3295871.4,9,2017
803,SP,23034679.75,9,2017
804,TO,1932229.0,9,2017
805,AC,235822.3,3,2018
806,AL,730386.6,3,2018
807,AM,2468661.04,3,2018
808,AP,1183368.2,3,2018
809,BA,10588625.82,3,2018
810,CE,4000712.1,3,2018
811,DF,56058.4,3,2018
812,ES,1565456.9,3,2018
813,GO,7672431.19,3,2018
814,MA,3813409.43,3,2018
815,MG,16183526.14,3,2018
816,MS,2464041.38,3,2018
817,MT,3113783.15,3,2018
818,PA,16631036.72,3,2018
819,PB,776678.8,3,2018
820,PE,4279045.34,3,2018
821,PI,2009786.0,3,2018
822,PR,16668661.75,3,2018
823,RJ,8467205.53,3,2018
824,RN,4284599.84,3,2018
825,RO,8352117.18,3,2018
826,RR,263791.78,3,2018
827,RS,9582075.76,3,2018
828,SC,4711049.61,3,2018
829,SE,3296239.4,3,2018
830,SP,23165256.05,3,2018
831,TO,1932229.0,3,2018
832,AC,161204.9,6,2018
833,AL,730386.6,6,2018
834,AM,2468661.04,6,2018
835,AP,1029268.2,6,2018
836,BA,10819281.82,6,2018
837,CE,4102212.1,6,2018
838,DF,56058.4,6,2018
839,ES,1547166.9,6,2018
840,GO,7690453.69,6,2018
841,MA,3813409.43,6,2018
842,MG,16284116.14,6,2018
843,MS,2483185.39,6,2018
844,MT,3119243.15,6,2018
845,PA,17441294.03,6,2018
846,PB,776678.8,6,2018
847,PE,4279045.34,6,2018
848,PI,2009786.0,6,2018
849,PR,16677341.75,6,2018
850,RJ,8467205.53,6,2018
851,RN,4361099.84,6,2018
852,RO,8352117.18,6,2018
853,RR,263813.38,6,2018
854,RS,9581290.76,6,2018
855,SC,4724799.61,6,2018
856,SE,3296239.4,6,2018
857,SP,23271970.77,6,2018
858,TO,1937729.0,6,2018
859,AC,115707.8,8,2018
860,AL,730386.6,8,2018
861,AM,2468661.04,8,2018
862,AP,1029268.2,8,2018
863,BA,11094681.82,8,2018
864,CE,4114812.1,8,2018
865,DF,56058.4,8,2018
866,ES,1564679.63,8,2018
867,GO,7699953.69,8,2018
868,MA,3813409.43,8,2018
869,MG,16303919.14,8,2018
870,MS,2478206.39,8,2018
871,MT,3106850.48,8,2018
872,PA,17441874.03,8,2018
873,PB,776678.8,8,2018
874,PE,4279045.34,8,2018
